nose.x
nose.y
nose.z
left eye (inner).x
left eye (inner).y
left eye (inner).z
left eye.x
left eye.y
left eye.z
left eye (outer).x
left eye (outer).y
left eye (outer).z
right eye (inner).x
right eye (inner).y
right eye (inner).z
right eye.x
right eye.y
right eye.z
right eye (outer).x
right eye (outer).y
right eye (outer).z
left ear.x
left ear.y
left ear.z
right ear.x
right ear.y
right ear.z
mouth (left).x
mouth (left).y
mouth (left).z
mouth (right).x
mouth (right).y
mouth (right).z
left shoulder.x
left shoulder.y
left shoulder.z
right shoulder.x
right shoulder.y
right shoulder.z
left elbow.x
left elbow.y
left elbow.z
right elbow.x
right elbow.y
right elbow.z
left wrist.x
left wrist.y
left wrist.z
right wrist.x
right wrist.y
right wrist.z
left pinky.x
left pinky.y
left pinky.z
right pinky.x
right pinky.y
right pinky.z
left index.x
left index.y
left index.z
right index.x
right index.y
right index.z
left thumb.x
left thumb.y
left thumb.z
right thumb.x
right thumb.y
right thumb.z
left hip.x
left hip.y
left hip.z
right hip.x
right hip.y
right hip.z
left knee.x
left knee.y
left knee.z
right knee.x
right knee.y
right knee.z
left ankle.x
left ankle.y
left ankle.z
right ankle.x
right ankle.y
right ankle.z
left heel.x
left heel.y
left heel.z
right heel.x
right heel.y
right heel.z
left foot index.x
left foot index.y
left foot index.z
right foot index.x
right foot index.y
right foot index.z
